Instrument:,H2S-230807479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Zone Offset (Minutes):,-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orignal File Name:,F:\Pretreat\H2S Odalog Data\Acrulog Raw Data\phils 06-03 to 07-01.acrudata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Session ID:,13921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Session 1st Title:,phils 06-03 to 07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Session Start:,"6/3/2024, 12:17:27 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Session End:,"7/1/2024, 1:12:27 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Every 5 mins,,,,,,,,,Every 3 mins,,,,,,,,,,,,,,,,,,,,,
Time Stamp,Battery (Volts),Temperature (°F),Humidity (%),H2S (PPM),ISO time,,,,NH3,,,,,,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 4:37:27 PM",3.65,107.1,70.2,0,2024-06-03T20:37:27.000Z,,,,"6/3/2024, 2:54:27 PM",3.655,99.7,88,38,2024-06-03T18:54:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 4:42:27 PM",3.65,107.4,69.9,0,2024-06-03T20:42:27.000Z,,,,"6/3/2024, 2:57:27 PM",3.655,99.7,88,39,2024-06-03T18:57:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 4:47:27 PM",3.65,108,69.3,0,2024-06-03T20:47:27.000Z,,,,"6/3/2024, 3:00:27 PM",3.655,99.7,88.1,37,2024-06-03T19:00:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 4:52:27 PM",3.649,108.1,68.9,0,2024-06-03T20:52:27.000Z,,,,"6/3/2024, 3:03:27 PM",3.655,99.7,88.1,36,2024-06-03T19:03:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 4:57:27 PM",3.65,107.6,68.6,1,2024-06-03T20:57:27.000Z,,,,"6/3/2024, 3:06:27 PM",3.655,99.7,88.2,37,2024-06-03T19:06:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 5:02:27 PM",3.65,106.2,68.5,1,2024-06-03T21:02:27.000Z,,,,"6/3/2024, 3:09:27 PM",3.655,99.9,88.2,37,2024-06-03T19:09:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 5:07:27 PM",3.65,106,68.5,1,2024-06-03T21:07:27.000Z,,,,"6/3/2024, 3:12:27 PM",3.655,100,88.2,39,2024-06-03T19:12:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 5:12:27 PM",3.65,106.7,68.4,0,2024-06-03T21:12:27.000Z,,,,"6/3/2024, 3:15:27 PM",3.655,100,88.3,40,2024-06-03T19:15:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 5:17:27 PM",3.65,107.4,68.4,0,2024-06-03T21:17:27.000Z,,,,"6/3/2024, 3:18:27 PM",3.655,100.4,88.3,39,2024-06-03T19:18:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 5:22:27 PM",3.65,108,68.3,0,2024-06-03T21:22:27.000Z,,,,"6/3/2024, 3:21:27 PM",3.655,100.6,88.4,39,2024-06-03T19:21:27.000Z,,,,,,,,,,,,,,,,,,,,,
